ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air,,
004-005,002,302,202,242,132,102,,
006-007,045,-,225,-,-,125,,
009,045,-,225,-,-,125,,
010-043,002,302,202,242,132,102,,
044,003,303,203,243,133,103,,
045,002,302,202,242,132,102,,
046,003,303,203,243,133,103,,
047,004,304,204,244,134,104,,
048,002,302,202,242,132,102,,
049,003,303,203,243,133,103,,
050-069,002,302,202,242,132,102,,
070-089,003,303,203,243,133,103,,
100-104,003,303,203,243,133,103,,
105-108,002,302,202,242,132,102,,
109-113,003,303,203,243,133,103,,
114-115,002,302,202,242,132,102,,
116,003,303,203,243,133,103,,
117-126,002,302,202,242,132,102,,
127,003,303,203,243,133,103,,
128,002,302,202,242,132,102,,
129-139,003,303,203,243,133,103,,
140-147,004,304,204,244,134,104,,
148-149,003,303,203,243,133,103,,
150-168,004,304,204,244,134,104,,
169-172,003,303,203,243,133,103,,
173-174,004,304,204,244,134,104,,
175-176,003,303,203,243,133,103,,
177,004,304,204,244,134,104,,
178-199,003,303,203,243,133,103,,
200-218,004,304,204,244,134,104,,
219,003,303,203,243,133,103,,
220-241,004,304,204,244,134,104,,
242,005,305,205,245,135,105,,
243-245,004,304,204,244,134,104,,
246-248,005,305,205,245,135,105,,
249-254,004,304,204,244,134,104,,
255-257,005,305,205,245,135,105,,
258-270,004,304,204,244,134,104,,
271,005,305,205,245,135,105,,
272-279,004,304,204,244,134,104,,
280-284,005,305,205,245,135,105,,
285,004,304,204,244,134,104,,
286-315,005,305,205,245,135,105,,
316,006,306,206,246,136,106,,
317-322,005,305,205,245,135,105,,
323-339,006,306,206,246,136,106,,
341,006,306,206,246,136,106,,
342-355,006,306,206,246,136,106,,
356-359,005,305,205,245,135,105,,
360-361,006,306,206,246,136,106,,
362,005,305,205,245,135,105,,
363-367,006,306,206,246,136,106,,
368,005,305,205,245,135,105,,
369,006,306,206,246,136,106,,
370-374,005,305,205,245,135,105,,
375,006,306,206,246,136,106,,
376-379,005,305,205,245,135,105,,
380-383,006,306,206,246,136,106,,
384-385,005,305,205,245,135,105,,
386-397,006,306,206,246,136,106,,
398,005,305,205,245,135,105,,
399-436,005,305,205,245,135,105,,
437-449,004,304,204,244,134,104,,
450-456,005,305,205,245,135,105,,
457,004,304,204,244,134,104,,
458-499,005,305,205,245,135,105,,
500-516,006,306,206,246,136,106,,
520,005,305,205,245,135,105,,
521-526,006,306,206,246,136,106,,
527-539,005,305,205,245,135,105,,
540,006,306,206,246,136,106,,
541-547,005,305,205,245,135,105,,
548,006,306,206,246,136,106,,
549,005,305,205,245,135,105,,
550-574,006,306,206,246,136,106,,
575-577,007,307,207,247,137,107,,
580-584,006,306,206,246,136,106,,
585-588,007,307,207,247,137,107,,
590-591,008,308,208,248,138,108,,
592-593,007,307,207,247,137,107,,
594-599,008,308,208,248,138,108,,
600-619,005,305,205,245,135,105,,
620-623,006,306,206,246,136,106,,
624-629,005,305,205,245,135,105,,
630-674,006,306,206,246,136,106,,
675-679,007,307,207,247,137,107,,
680-689,006,306,206,246,136,106,,
690-693,007,307,207,247,137,107,,
700-704,006,306,206,246,136,106,,
705-706,007,307,207,247,137,107,,
707-729,006,306,206,246,136,106,,
730-739,007,307,207,247,137,107,,
740-745,006,306,206,246,136,106,,
746-748,007,307,207,247,137,107,,
749,006,306,206,246,136,106,,
750-754,007,307,207,247,137,107,,
755,006,306,206,246,136,106,,
756-784,007,307,207,247,137,107,,
785,008,308,208,248,138,108,,
786-796,007,307,207,247,137,107,,
797-799,008,308,208,248,138,108,,
800-810,007,307,207,247,137,107,,
811-816,008,308,208,248,138,108,,
820,007,307,207,247,137,107,,
821,008,308,208,248,138,108,,
822,007,307,207,247,137,107,,
823-825,008,308,208,248,138,108,,
826-828,007,307,207,247,137,107,,
829-880,008,308,208,248,138,108,,
881,007,307,207,247,137,107,,
882-883,008,308,208,248,138,108,,
884,007,307,207,247,137,107,,
885-961,008,308,208,248,138,108,,
970-986,008,308,208,248,138,108,,
988-994,008,308,208,248,138,108,,
